"","Month","DayOfWeek","Seasons","TransportExpense","DistanceToWork","ServiceTime","Age","Workload","Hit.target","DisciplineFailure","Education","Children","SocialDrink","SocialSmoke","Pet","Weight","Height","Body.mass.index","AbsentTime"
"1",7,3,1,289,36,13,33,"239,554",97,"0",1,2,"1","0",1,90,172,30,4
"2",7,3,1,118,13,18,50,"239,554",97,"1",1,1,"1","0",0,98,178,31,0
"3",7,4,1,179,51,18,38,"239,554",97,"0",1,0,"1","0",0,89,170,31,2
"4",7,5,1,279,5,14,39,"239,554",97,"0",1,2,"1","1",0,68,168,24,4
"5",7,5,1,289,36,13,33,"239,554",97,"0",1,2,"1","0",1,90,172,30,2
"6",7,6,1,179,51,18,38,"239,554",97,"0",1,0,"1","0",0,89,170,31,2
"7",7,6,1,361,52,3,28,"239,554",97,"0",1,1,"1","0",4,80,172,27,8
"8",7,6,1,260,50,11,36,"239,554",97,"0",1,4,"1","0",0,65,168,23,4
"9",7,2,1,155,12,14,34,"239,554",97,"0",1,2,"1","0",0,95,196,25,40
"10",7,2,1,235,11,14,37,"239,554",97,"0",3,1,"0","0",1,88,172,29,8
"11",7,2,1,260,50,11,36,"239,554",97,"0",1,4,"1","0",0,65,168,23,8
"12",7,3,1,260,50,11,36,"239,554",97,"0",1,4,"1","0",0,65,168,23,8
"13",7,4,1,260,50,11,36,"239,554",97,"0",1,4,"1","0",0,65,168,23,8
"14",7,4,1,179,51,18,38,"239,554",97,"0",1,0,"1","0",0,89,170,31,1
"15",7,4,1,179,51,18,38,"239,554",97,"0",1,0,"1","0",0,89,170,31,4
"16",7,6,1,246,25,16,41,"239,554",97,"0",1,0,"1","0",0,67,170,23,8
"17",7,6,1,179,51,18,38,"239,554",97,"0",1,0,"1","0",0,89,170,31,2
"18",7,2,1,179,51,18,38,"239,554",97,"0",1,0,"1","0",0,89,170,31,8
"19",7,5,1,189,29,13,33,"239,554",97,"0",1,2,"0","0",2,69,167,25,8
"20",8,4,1,248,25,14,47,"205,917",92,"0",1,2,"0","0",1,86,165,32,2
"21",8,4,1,330,16,4,28,"205,917",92,"0",2,0,"0","0",0,84,182,25,8
"22",8,2,1,179,51,18,38,"205,917",92,"0",1,0,"1","0",0,89,170,31,1
"23",8,2,1,361,52,3,28,"205,917",92,"0",1,1,"1","0",4,80,172,27,40
"24",8,6,1,260,50,11,36,"205,917",92,"0",1,4,"1","0",0,65,168,23,4
"25",8,2,1,289,36,13,33,"205,917",92,"0",1,2,"1","0",1,90,172,30,8
"26",8,2,1,361,52,3,28,"205,917",92,"0",1,1,"1","0",4,80,172,27,7
"27",8,3,1,289,36,13,33,"205,917",92,"0",1,2,"1","0",1,90,172,30,1
"28",8,4,1,157,27,6,29,"205,917",92,"0",1,0,"1","1",0,75,185,22,4
"29",8,4,1,289,36,13,33,"205,917",92,"0",1,2,"1","0",1,90,172,30,8
"30",8,6,1,179,51,18,38,"205,917",92,"0",1,0,"1","0",0,89,170,31,2
"31",8,2,1,179,51,18,38,"205,917",92,"0",1,0,"1","0",0,89,170,31,8
"32",8,5,1,235,29,12,48,"205,917",92,"0",1,1,"0","1",5,88,163,33,8
"33",8,5,1,235,11,14,37,"205,917",92,"0",3,1,"0","0",1,88,172,29,4
"34",8,2,1,235,29,12,48,"205,917",92,"0",1,1,"0","1",5,88,163,33,8
"35",8,2,1,179,51,18,38,"205,917",92,"0",1,0,"1","0",0,89,170,31,2
"36",8,2,1,361,52,3,28,"205,917",92,"0",1,1,"1","0",4,80,172,27,1
"37",8,3,1,289,36,13,33,"205,917",92,"0",1,2,"1","0",1,90,172,30,8
"38",8,5,1,291,50,12,32,"205,917",92,"0",1,0,"1","0",0,65,169,23,4
"39",8,6,1,235,29,12,48,"205,917",92,"0",1,1,"0","1",5,88,163,33,8
"40",8,6,1,260,50,11,36,"205,917",92,"0",1,4,"1","0",0,65,168,23,4
"41",9,3,1,184,42,7,27,"241,476",92,"0",1,0,"0","0",0,58,167,21,2
"42",9,2,1,118,10,10,37,"241,476",92,"0",1,0,"0","0",0,83,172,28,4
"43",9,3,1,179,51,18,38,"241,476",92,"0",1,0,"1","0",0,89,170,31,4
"44",9,3,1,235,20,13,43,"241,476",92,"0",1,1,"1","0",0,106,167,38,8
"45",9,4,1,155,12,14,34,"241,476",92,"0",1,2,"1","0",0,95,196,25,2
"46",9,2,1,118,10,10,37,"241,476",92,"0",1,0,"0","0",0,83,172,28,3
"47",9,3,1,179,51,18,38,"241,476",92,"0",1,0,"1","0",0,89,170,31,3
"48",9,5,1,291,31,12,40,"241,476",92,"0",1,1,"1","0",1,73,171,25,4
"49",9,6,1,260,50,11,36,"241,476",92,"0",1,4,"1","0",0,65,168,23,8
"50",9,2,4,291,31,12,40,"241,476",92,"0",1,1,"1","0",1,73,171,25,32
"51",9,2,4,260,50,11,36,"241,476",92,"1",1,4,"1","0",0,65,168,23,0
"52",9,2,4,225,26,9,28,"241,476",92,"1",1,1,"0","0",2,69,169,24,0
"53",9,3,4,225,26,9,28,"241,476",92,"0",1,1,"0","0",2,69,169,24,2
"54",9,3,4,118,10,10,37,"241,476",92,"0",1,0,"0","0",0,83,172,28,2
"55",9,3,4,289,36,13,33,"241,476",92,"1",1,2,"1","0",1,90,172,30,0
"56",9,3,4,118,13,18,50,"241,476",92,"1",1,1,"1","0",0,98,178,31,0
"57",9,4,4,225,26,9,28,"241,476",92,"0",1,1,"0","0",2,69,169,24,3
"58",9,4,4,179,51,18,38,"241,476",92,"0",1,0,"1","0",0,89,170,31,3
"59",9,4,4,369,17,12,31,"241,476",92,"1",1,3,"1","0",0,70,169,25,0
"60",9,6,4,248,25,14,47,"241,476",92,"0",1,2,"0","0",1,86,165,32,1
"61",9,6,4,179,51,18,38,"241,476",92,"0",1,0,"1","0",0,89,170,31,3
"62",9,6,4,260,50,11,36,"241,476",92,"0",1,4,"1","0",0,65,168,23,4
"63",10,3,4,179,51,18,38,"253,465",93,"0",1,0,"1","0",0,89,170,31,3
"64",10,3,4,118,10,10,37,"253,465",93,"0",1,0,"0","0",0,83,172,28,3
"65",10,4,4,118,13,18,50,"253,465",93,"1",1,1,"1","0",0,98,178,31,0
"66",10,5,4,179,26,9,30,"253,465",93,"0",3,0,"0","0",0,56,171,19,1
"67",10,6,4,179,51,18,38,"253,465",93,"0",1,0,"1","0",0,89,170,31,3
"68",10,6,4,225,26,9,28,"253,465",93,"0",1,1,"0","0",2,69,169,24,3
"69",10,3,4,118,10,10,37,"253,465",93,"0",1,0,"0","0",0,83,172,28,3
"70",10,4,4,225,26,9,28,"253,465",93,"0",1,1,"0","0",2,69,169,24,2
"71",10,4,4,248,25,14,47,"253,465",93,"0",1,2,"0","0",1,86,165,32,2
"72",10,5,4,291,31,12,40,"253,465",93,"0",1,1,"1","0",1,73,171,25,5
"73",10,4,4,179,51,18,38,"253,465",93,"0",1,0,"1","0",0,89,170,31,8
"74",10,4,4,225,26,9,28,"253,465",93,"0",1,1,"0","0",2,69,169,24,3
"75",10,5,4,260,50,11,36,"253,465",93,"0",1,4,"1","0",0,65,168,23,16
"76",10,3,4,291,31,12,40,"253,465",93,"0",1,1,"1","0",1,73,171,25,8
"77",10,3,4,225,26,9,28,"253,465",93,"0",1,1,"0","0",2,69,169,24,2
"78",10,4,4,289,36,13,33,"253,465",93,"0",1,2,"1","0",1,90,172,30,8
"79",10,6,4,361,52,3,28,"253,465",93,"0",1,1,"1","0",4,80,172,27,1
"80",10,6,4,260,50,11,36,"253,465",93,"0",1,4,"1","0",0,65,168,23,3
"81",11,5,4,179,51,18,38,"306,345",93,"0",1,0,"1","0",0,89,170,31,1
"82",11,4,4,225,26,9,28,"306,345",93,"0",1,1,"0","0",2,69,169,24,1
"83",11,5,4,179,51,18,38,"306,345",93,"0",1,0,"1","0",0,89,170,31,8
"84",11,5,4,179,22,17,40,"306,345",93,"0",2,2,"0","1",0,63,170,22,8
"85",11,5,4,291,31,12,40,"306,345",93,"0",1,1,"1","0",1,73,171,25,5
"86",11,2,4,155,12,14,34,"306,345",93,"0",1,2,"1","0",0,95,196,25,32
"87",11,2,4,189,29,13,33,"306,345",93,"0",1,2,"0","0",2,69,167,25,8
"88",11,2,4,291,31,12,40,"306,345",93,"0",1,1,"1","0",1,73,171,25,40
"89",11,4,4,225,26,9,28,"306,345",93,"0",1,1,"0","0",2,69,169,24,1
"90",11,6,4,155,12,14,34,"306,345",93,"0",1,2,"1","0",0,95,196,25,8
"91",11,4,4,225,26,9,28,"306,345",93,"0",1,1,"0","0",2,69,169,24,3
"92",11,4,4,179,22,17,40,"306,345",93,"0",2,2,"0","1",0,63,170,22,8
"93",11,6,4,225,26,9,28,"306,345",93,"0",1,1,"0","0",2,69,169,24,3
"94",11,6,4,260,50,11,36,"306,345",93,"0",1,4,"1","0",0,65,168,23,4
"95",11,2,4,248,25,14,47,"306,345",93,"0",1,2,"0","0",1,86,165,32,1
"96",11,3,4,225,26,9,28,"306,345",93,"0",1,1,"0","0",2,69,169,24,3
"97",11,4,4,289,36,13,33,"306,345",93,"0",1,2,"1","0",1,90,172,30,24
"98",11,5,4,291,31,12,40,"306,345",93,"0",1,1,"1","0",1,73,171,25,3
"99",12,3,4,248,25,14,47,"261,306",97,"0",1,2,"0","0",1,86,165,32,1
"100",12,3,4,118,10,10,37,"261,306",97,"0",1,0,"0","0",0,83,172,28,64
"101",12,4,4,118,13,18,50,"261,306",97,"0",1,1,"1","0",0,98,178,31,2
"102",12,4,4,235,11,14,37,"261,306",97,"0",3,1,"0","0",1,88,172,29,8
"103",12,5,4,225,26,9,28,"261,306",97,"0",1,1,"0","0",2,69,169,24,2
"104",12,6,4,260,50,11,36,"261,306",97,"0",1,4,"1","0",0,65,168,23,8
"105",12,3,4,118,10,10,37,"261,306",97,"0",1,0,"0","0",0,83,172,28,56
"106",12,4,4,361,52,3,28,"261,306",97,"0",1,1,"1","0",4,80,172,27,8
"107",12,5,4,225,26,9,28,"261,306",97,"0",1,1,"0","0",2,69,169,24,3
"108",12,6,4,260,50,11,36,"261,306",97,"0",1,4,"1","0",0,65,168,23,3
"109",12,3,4,225,26,9,28,"261,306",97,"0",1,1,"0","0",2,69,169,24,2
"110",12,4,4,361,52,3,28,"261,306",97,"0",1,1,"1","0",4,80,172,27,8
"111",12,6,4,118,10,10,37,"261,306",97,"0",1,0,"0","0",0,83,172,28,2
"112",12,6,2,246,25,16,41,"261,306",97,"0",1,0,"1","0",0,67,170,23,8
